users;vehicles
287855;43128
545931;84399
867716;132055
1131178;173719
1247159;193598
1525203;235263
1869226;282487
2236467;330696
2601721;378398
3030453;428054
3447524;476977
3502280;531733
660953;63878
1167767;121910
1472663;159624
1477742;160850
1487550;167122
1520247;178357
1588522;196269
1681928;217262
1885318;251579
2140612;292437
2412679;333360
2747902;379884
666824;65999
1150817;124214
1686707;189065
2250517;251321
2794729;315925
3383637;377519
3972643;440932
4567828;505668
5139520;568442
5748700;632656
6334214;693345
7055540;758964
663006;66399
1146501;123798
1734878;188154
2283064;251847
2838391;317122
3412791;380089
4013513;445443
4594753;510514
5152888;573442
5735859;638327
6293484;700928
7006829;768603
677485;68053
1167223;127933
1710457;194143
2289608;258547
2836379;323530
3399982;387265
3988011;453114
4565764;519479
5122563;583294
5720560;649369
6291554;713382
7025396;782278
